,name,disaster,begDate,endDate,adjCost,unadjCost,deaths
0,Southern Severe Storms and Flooding (April 1980),Flooding,19800410,19800417,2728.1,706.8,7
1,Hurricane Allen (August 1980),Tropical Cyclone,19800807,19800811,2212.6,590.0,13
2,Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,19800601,19801130,40180.2,10020.0,1260
3,Florida Freeze (January 1981),Freeze,19810112,19810114,2053.5,572.0,0
4,"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,19810505,19810510,1397.0,401.4,20
5,"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2191.0,662.0,85
6,Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,19820402,19820404,1589.8,483.2,33
7,Severe Storms (June 1982),Severe Storm,19820531,19820610,1564.5,479.9,30
8,Gulf States Storms and Flooding (December 1982-January 1983),Flooding,19821201,19830115,4900.1,1536.1,45
9,Western Storms and Flooding (December 1982-March 1983),Flooding,19821213,19830331,4783.8,1499.6,50
10,Hurricane Alicia (August 1983),Tropical Cyclone,19830817,19830820,9360.0,3000.0,21
11,Southeast Drought (Summer 1983),Drought,19830601,19830831,9455.5,2964.1,0
12,Arizona Flooding (October 1983),Flooding,19830929,19831003,1240.0,400.0,14
13,Freeze/Cold Wave (December 1983),Freeze,19831215,19831225,6398.8,2005.8,151
14,"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,19840327,19840407,1833.1,603.1,80
15,Severe Storms and Hail (June 1984),Severe Storm,19840613,19840617,1343.1,446.2,1
16,"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2477.2,836.9,150
17,Florida Freeze (January 1985),Freeze,19850120,19850122,3552.0,1200.0,0
18,Ohio and Pennsylvania Tornado Outbreak (June 1985),Severe Storm,19850531,19850531,1740.0,600.0,89
19,Hurricane Elena (September 1985),Tropical Cyclone,19850830,19850903,3749.5,1297.4,4
20,Hurricane Gloria (September 1985),Tropical Cyclone,19850926,19850928,2465.5,856.1,11
21,Hurricane Juan (October 1985),Tropical Cyclone,19851027,19851031,4295.6,1496.7,63
22,"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,19851103,19851108,4018.0,1400.0,62
23,Western Severe Storms and Flooding (February 1986),Severe Storm,19860214,19860216,1515.1,529.8,13
24,Southeast Drought/Heat Wave (Summer 1986),Drought,19860601,19860831,5140.5,1803.6,100
25,Michigan Flooding (September 1986),Flooding,19860910,19860912,1132.0,400.0,10
26,U.S. Drought/Heat Wave (Summer 1988),Drought,19880601,19880831,54010.3,20003.8,454
27,Southern Derecho and Severe Storms (May 1989),Severe Storm,19890501,19890506,1389.8,551.5,21
28,Tropical Storm Allison (June 1989),Tropical Cyclone,19890626,19890628,1474.2,585.0,11
29,Hurricane Hugo (September 1989),Tropical Cyclone,19890921,19890922,22499.8,8999.9,86
30,Northern Plains Drought (Summer-Fall 1989),Drought,19890601,19891130,7748.1,3003.2,0
31,Florida Freeze (December 1989),Freeze,19891223,19891225,5160.0,2000.0,10
32,"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,19891226,1686.2,680.0,100
33,Southern Flooding (May 1990),Flooding,19900511,19900519,2436.7,1006.9,13
34,Colorado Hail Storm (July 1990),Severe Storm,19900711,19900711,1968.1,820.1,0
35,Western Fire Season (Summer 1990),Wildfire,19900601,19900831,1694.7,715.0,17
36,California Freeze (December 1990),Freeze,19901218,19901225,8330.0,3400.0,0
37,"Severe Storms, Tornadoes (March 1991)",Severe Storm,19910326,19910329,1489.9,645.0,0
38,Hurricane Bob (August 1991),Tropical Cyclone,19910818,19910820,3441.6,1502.9,18
39,U.S. Drought (Spring-Summer 1991),Drought,19910301,19910831,6979.7,3008.5,0
40,Oakland Firestorm (October 1991),Wildfire,19911001,19911031,7491.0,3300.0,25
41,Severe Storms (March 1992),Severe Storm,19920324,19920325,1801.7,804.3,0
42,"Hail, Tornadoes (April 1992)",Severe Storm,19920428,19920429,2137.9,954.4,0
43,"Severe Storms, Hail (June 1992)",Severe Storm,19920619,19920620,1668.0,748.0,0
44,Hurricane Andrew (August 1992),Tropical Cyclone,19920823,19920827,59940.0,27000.0,61
45,Hurricane Iniki (September 1992),Tropical Cyclone,19920911,19920912,6851.0,3100.0,7
46,Southeast Severe Weather (November 1992),Severe Storm,19921121,19921123,1445.4,657.0,26
47,Northeast Winter Storm (December 1992),Winter Storm,19921210,19921213,5462.6,2483.0,19
48,East Coast Blizzard and Severe Weather (March 1993),Winter Storm,19930311,19930314,12048.9,5527.0,270
49,Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,19930708,19930710,1391.0,644.0,1
50,Midwest Flooding (Summer 1993),Flooding,19930627,19930815,45904.2,20960.9,48
