measurements_unit,measurements_value,measurements_sourcename,measurements_lastupdated,measurements_parameter,country_name_en
ppm,0.037,AirNow,2023-05-30T18:00:00-05:00,O3,United States
µg/m³,44.0,AirNow,2023-05-30T18:00:00-05:00,PM10,United States
ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
µg/m³,20.0,AirNow,2023-05-30T18:00:00-05:00,PM10,United States
µg/m³,4.0,AirNow,2023-05-30T18:00:00-05:00,PM2.5,United States
µg/m³,16.0,AirNow,2023-05-30T18:00:00-05:00,PM10,United States
ppm,0.0002,AirNow,2023-05-30T18:00:00-05:00,SO2,United States
µg/m³,4.0,AirNow,2023-05-30T18:00:00-05:00,PM2.5,United States
ppm,0.051,AirNow,2023-05-30T18:00:00-05:00,O3,United States
ppm,0.041,AirNow,2023-05-30T18:00:00-05:00,O3,United States
ppm,0.041,AirNow,2023-05-30T18:00:00-05:00,O3,United States
µg/m³,4.0,AirNow,2023-05-30T18:00:00-05:00,PM2.5,United States
ppm,0.04,AirNow,2023-05-30T18:00:00-05:00,O3,United States
ppm,0.053,AirNow,2023-05-30T18:00:00-05:00,O3,United States
ppm,0.0004,AirNow,2023-05-30T18:00:00-05:00,NO,United States
µg/m³,6.9,AirNow,2023-05-30T18:00:00-05:00,PM2.5,United States
µg/m³,6.0,AirNow,2023-05-30T18:00:00-05:00,PM2.5,United States
ppm,0.0,AirNow,2023-05-30T18:00:00-05:00,SO2,United States
ppm,0.3,AirNow,2023-05-30T18:00:00-05:00,CO,United States
ppm,0.0018,AirNow,2023-05-30T18:00:00-05:00,NO,United States
ppm,0.0182,AirNow,2023-05-30T18:00:00-05:00,NO,United States
µg/m³,24.0,AirNow,2023-05-30T18:00:00-05:00,PM10,United States
µg/m³,27.0,AirNow,2023-05-30T18:00:00-05:00,PM10,United States
ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,SO2,United States
µg/m³,5.0,AirNow,2023-05-30T18:00:00-05:00,PM2.5,United States
µg/m³,9.2,AirNow,2023-05-30T18:00:00-05:00,PM2.5,United States
µg/m³,3.7,AirNow,2023-05-30T18:00:00-05:00,PM2.5,United States
ppm,0.059,AirNow,2023-05-30T18:00:00-05:00,O3,United States
ppm,0.05,AirNow,2023-05-30T18:00:00-05:00,O3,United States
ppm,0.028,AirNow,2023-05-30T18:00:00-05:00,O3,United States
ppm,0.0001,AirNow,2023-05-30T18:00:00-05:00,SO2,United States
µg/m³,18.0,AirNow,2023-05-30T18:00:00-05:00,PM2.5,United States
µg/m³,9.3,AirNow,2023-05-30T18:00:00-05:00,PM2.5,United States
ppm,0.077,AirNow,2023-05-30T18:00:00-05:00,O3,United States
µg/m³,31.0,AirNow,2023-05-30T18:00:00-05:00,PM10,United States
