source,country,parameter,measurement_in_ppm,last_update
AirNow,United States,O3,0.037,2023-05-30 18:00:00-05:00
AirNow,United States,PM10,44.0,2023-05-30 18:00:00-05:00
AirNow,United States,NO2,0.001,2023-05-30 18:00:00-05:00
AirNow,United States,PM10,20.0,2023-05-30 18:00:00-05:00
AirNow,United States,PM2.5,4.0,2023-05-30 18:00:00-05:00
AirNow,United States,PM10,16.0,2023-05-30 18:00:00-05:00
AirNow,United States,SO2,0.0002,2023-05-30 18:00:00-05:00
AirNow,United States,PM2.5,4.0,2023-05-30 18:00:00-05:00
AirNow,United States,O3,0.051,2023-05-30 18:00:00-05:00
AirNow,United States,O3,0.041,2023-05-30 18:00:00-05:00
AirNow,United States,O3,0.041,2023-05-30 18:00:00-05:00
AirNow,United States,PM2.5,4.0,2023-05-30 18:00:00-05:00
AirNow,United States,O3,0.04,2023-05-30 18:00:00-05:00
AirNow,United States,O3,0.053,2023-05-30 18:00:00-05:00
AirNow,United States,NO,0.0004,2023-05-30 18:00:00-05:00
AirNow,United States,PM2.5,6.9,2023-05-30 18:00:00-05:00
AirNow,United States,PM2.5,6.0,2023-05-30 18:00:00-05:00
AirNow,United States,SO2,0.0,2023-05-30 18:00:00-05:00
AirNow,United States,CO,0.3,2023-05-30 18:00:00-05:00
AirNow,United States,NO,0.0018,2023-05-30 18:00:00-05:00
AirNow,United States,NO,0.0182,2023-05-30 18:00:00-05:00
AirNow,United States,PM10,24.0,2023-05-30 18:00:00-05:00
AirNow,United States,PM10,27.0,2023-05-30 18:00:00-05:00
AirNow,United States,SO2,0.001,2023-05-30 18:00:00-05:00
AirNow,United States,PM2.5,5.0,2023-05-30 18:00:00-05:00
AirNow,United States,PM2.5,9.2,2023-05-30 18:00:00-05:00
AirNow,United States,PM2.5,3.7,2023-05-30 18:00:00-05:00
AirNow,United States,O3,0.059,2023-05-30 18:00:00-05:00
AirNow,United States,O3,0.05,2023-05-30 18:00:00-05:00
AirNow,United States,O3,0.028,2023-05-30 18:00:00-05:00
AirNow,United States,SO2,0.0001,2023-05-30 18:00:00-05:00
AirNow,United States,PM2.5,18.0,2023-05-30 18:00:00-05:00
AirNow,United States,PM2.5,9.3,2023-05-30 18:00:00-05:00
AirNow,United States,O3,0.077,2023-05-30 18:00:00-05:00
AirNow,United States,PM10,31.0,2023-05-30 18:00:00-05:00
AirNow,United States,O3,0.04,2023-05-30 18:00:00-05:00
