disaster_name,disaster_type,start_date,end_date,adjusted_cost,unadjusted_cost,deaths,date category
Southern Severe Storms and Flooding,Flooding,1980-04-10,1980-04-17,2728,706,7,April 1980
Hurricane Allen,Tropical Cyclone,1980-08-07,1980-08-11,2212,590,13,August 1980
Central/Eastern Drought/Heat Wave,Drought,1980-06-01,1980-11-30,40180,10020,1260,Summer-Fall 1980
Florida Freeze,Freeze,1981-01-12,1981-01-14,2053,572,0,January 1981
"Severe Storms, Flash Floods, Hail, Tornadoes",Severe Storm,1981-05-05,1981-05-10,1397,401,20,May 1981
"Midwest/Southeast/Northeast Winter Storm, Cold Wave",Winter Storm,1982-01-08,1982-01-16,2191,662,85,January 1982
Midwest/Plains/Southeast Tornadoes,Severe Storm,1982-04-02,1982-04-04,1589,483,33,April 1982
Severe Storms,Severe Storm,1982-05-31,1982-06-10,1564,479,30,June 1982
Gulf States Storms and Flooding,Flooding,1982-12-01,1983-01-15,4900,1536,45,December 1982-January 1983
Western Storms and Flooding,Flooding,1982-12-13,1983-03-31,4783,1499,50,December 1982-March 1983
Hurricane Alicia,Tropical Cyclone,1983-08-17,1983-08-20,9360,3000,21,August 1983
Southeast Drought,Drought,1983-06-01,1983-08-31,9455,2964,0,Summer 1983
Arizona Flooding,Flooding,1983-09-29,1983-10-03,1240,400,14,October 1983
Freeze/Cold Wave,Freeze,1983-12-15,1983-12-25,6398,2005,151,December 1983
"Tornadoes, Severe Storms, Floods",Severe Storm,1984-03-27,1984-04-07,1833,603,80,Spring 1984
Severe Storms and Hail,Severe Storm,1984-06-13,1984-06-17,1343,446,1,June 1984
"Winter Storm, Cold Wave",Winter Storm,1985-01-19,1985-01-22,2477,836,150,January 1985
Florida Freeze,Freeze,1985-01-20,1985-01-22,3552,1200,0,January 1985
Ohio and Pennsylvania Tornado Outbreak,Severe Storm,1985-05-31,1985-05-31,1740,600,89,June 1985
Hurricane Elena,Tropical Cyclone,1985-08-30,1985-09-03,3749,1297,4,September 1985
Hurricane Gloria,Tropical Cyclone,1985-09-26,1985-09-28,2465,856,11,September 1985
Hurricane Juan,Tropical Cyclone,1985-10-27,1985-10-31,4295,1496,63,October 1985
"Virginia, West Virginia, Pennsylvania and Maryland Flooding",Flooding,1985-11-03,1985-11-08,4018,1400,62,November 1985
Western Severe Storms and Flooding,Severe Storm,1986-02-14,1986-02-16,1515,529,13,February 1986
Southeast Drought/Heat Wave,Drought,1986-06-01,1986-08-31,5140,1803,100,Summer 1986
Michigan Flooding,Flooding,1986-09-10,1986-09-12,1132,400,10,September 1986
U.S. Drought/Heat Wave,Drought,1988-06-01,1988-08-31,54010,20003,454,Summer 1988
Southern Derecho and Severe Storms,Severe Storm,1989-05-01,1989-05-06,1389,551,21,May 1989
Tropical Storm Allison,Tropical Cyclone,1989-06-26,1989-06-28,1474,585,11,June 1989
Hurricane Hugo,Tropical Cyclone,1989-09-21,1989-09-22,22499,8999,86,September 1989
Northern Plains Drought,Drought,1989-06-01,1989-11-30,7748,3003,0,Summer-Fall 1989
Florida Freeze,Freeze,1989-12-23,1989-12-25,5160,2000,10,December 1989
"Winter Storm, Cold Wave",Winter Storm,1989-12-21,1989-12-26,1686,680,100,December 1989
Southern Flooding,Flooding,1990-05-11,1990-05-19,2436,1006,13,May 1990
Colorado Hail Storm,Severe Storm,1990-07-11,1990-07-11,1968,820,0,July 1990
Western Fire Season,Wildfire,1990-06-01,1990-08-31,1694,715,17,Summer 1990
California Freeze,Freeze,1990-12-18,1990-12-25,8330,3400,0,December 1990
"Severe Storms, Tornadoes",Severe Storm,1991-03-26,1991-03-29,1489,645,0,March 1991
Hurricane Bob,Tropical Cyclone,1991-08-18,1991-08-20,3441,1502,18,August 1991
U.S. Drought,Drought,1991-03-01,1991-08-31,6979,3008,0,Spring-Summer 1991
Oakland Firestorm,Wildfire,1991-10-01,1991-10-31,7491,3300,25,October 1991
Severe Storms,Severe Storm,1992-03-24,1992-03-25,1801,804,0,March 1992
