,measurements_unit,measurements_value,measurements_sourcename,measurements_lastupdated,measurements_parameter,country_name_en
0,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
1,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
2,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
3,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
4,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
5,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
6,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
7,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
8,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
9,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
10,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
11,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
12,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
13,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
14,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
15,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
16,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
17,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
18,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
19,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
20,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
21,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
22,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
23,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
24,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
25,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
26,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
27,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
28,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
29,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
30,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
31,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
32,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
33,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
34,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
35,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
36,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
37,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
38,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
39,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
40,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
41,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
42,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
43,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
44,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
